[kbplacer_plugin_action.py:63]: Plugin version: 0.11
[kbplacer_plugin_action.py:64]: Python version: '3.11.5 (main, May 10 2024, 05:24:12) [MSC v.1939 64 bit (AMD64)]'
[kbplacer_plugin_action.py:65]: KiCad version: 8.0.3 with 4.2.0 msw (phoenix) wxWidgets 3.2.4
[kbplacer_dialog.py:585]: Language: en
[kbplacer_plugin_action.py:76]: GUI state: {"layout_path": "C:\\Users\\liuming\\Desktop\\PH60\\PCB_Rev3\\ISO60\\keyboard-layout.json", "key_distance": [19.05, 19.05], "key_info": {"annotation_format": "S{}", "position_option": "Default", "position": {"x": 0.0, "y": 0.0, "orientation": 0.0, "side": "Front"}, "template_path": ""}, "enable_diode_placement": true, "route_switches_with_diodes": false, "optimize_diodes_orientation": false, "diode_info": {"annotation_format": "D{}", "position_option": "Custom", "position": {"x": 3.08, "y": 3.65, "orientation": 90.0, "side": "Back"}, "template_path": ""}, "additional_elements": [], "route_rows_and_columns": true, "template_path": "", "generate_outline": false, "outline_delta": 0.0}
[key_placer.py:310]: Set key 1U distance: 19050000/19050000
[key_placer.py:117]: Switches by nets: defaultdict(<class 'list'>, {frozenset({'col_5', 'row_2'}): ['S34'], frozenset({'col_3', 'row_2'}): ['S32'], frozenset({'col_3', 'row_0'}): ['S4'], frozenset({'col_1', 'row_1'}): ['S16'], frozenset({'col_9', 'row_0'}): ['S10'], frozenset({'col_11', 'row_1'}): ['S26'], frozenset({'row_3', 'col_6'}): ['S48'], frozenset({'col_10', 'row_1'}): ['S25'], frozenset({'col_12', 'row_1'}): ['S27'], frozenset({'col_12', 'row_0'}): ['S13'], frozenset({'row_1', 'col_6'}): ['S21'], frozenset({'col_10', 'row_3'}): ['S52'], frozenset({'col_9', 'row_4'}): ['S59'], frozenset({'row_1', 'col_3'}): ['S18'], frozenset({'col_11', 'row_0'}): ['S12'], frozenset({'row_3', 'col_3'}): ['S45'], frozenset({'row_3', 'col_4'}): ['S46'], frozenset({'row_3', 'col_9'}): ['S51'], frozenset({'row_1', 'col_4'}): ['S19'], frozenset({'row_1', 'col_9'}): ['S24'], frozenset({'col_5', 'row_1'}): ['S20'], frozenset({'col_6', 'row_0'}): ['S7'], frozenset({'row_3', 'col_2'}): ['S44'], frozenset({'row_3', 'col_0'}): ['S42'], frozenset({'col_6', 'row_2'}): ['S35'], frozenset({'col_6', 'row_4'}): ['S58'], frozenset({'col_0', 'row_2'}): ['S29'], frozenset({'row_3', 'col_8'}): ['S50'], frozenset({'col_1', 'row_2'}): ['S30'], frozenset({'col_11', 'row_4'}): ['S61'], frozenset({'col_8', 'row_0'}): ['S9'], frozenset({'col_4', 'row_2'}): ['S33'], frozenset({'col_7', 'row_1'}): ['S22'], frozenset({'col_7', 'row_2'}): ['S36'], frozenset({'col_13', 'row_2'}): ['S41'], frozenset({'col_13', 'row_4'}): ['S62'], frozenset({'col_11', 'row_3'}): ['S53'], frozenset({'row_1', 'col_8'}): ['S23'], frozenset({'row_1', 'col_13'}): ['S28'], frozenset({'col_5', 'row_3'}): ['S47'], frozenset({'col_9', 'row_2'}): ['S38'], frozenset({'col_7', 'row_0'}): ['S8'], frozenset({'col_4', 'row_0'}): ['S5'], frozenset({'row_1', 'col_2'}): ['S17'], frozenset({'col_8', 'row_2'}): ['S37'], frozenset({'col_5', 'row_0'}): ['S6'], frozenset({'col_13', 'row_0'}): ['S14'], frozenset({'row_0', 'col_0'}): ['S1'], frozenset({'col_2', 'row_4'}): ['S57'], frozenset({'row_3', 'col_13'}): ['S54'], frozenset({'row_1', 'col_0'}): ['S15'], frozenset({'col_11', 'row_2'}): ['S40'], frozenset({'col_10', 'row_4'}): ['S60'], frozenset({'col_1', 'row_0'}): ['S2'], frozenset({'col_10', 'row_0'}): ['S11'], frozenset({'col_0', 'row_4'}): ['S55'], frozenset({'col_7', 'row_3'}): ['S49'], frozenset({'col_1', 'row_3'}): ['S43'], frozenset({'col_10', 'row_2'}): ['S39'], frozenset({'col_2', 'row_2'}): ['S31'], frozenset({'col_2', 'row_0'}): ['S3'], frozenset({'col_1', 'row_4'}): ['S56']})
[key_placer.py:121]: Diodes by switch: {'S44': ['D44'], 'S49': ['D49'], 'S31': ['D31'], 'S1': ['D1'], 'S2': ['D2'], 'S50': ['D50'], 'S59': ['D59'], 'S3': ['D3'], 'S52': ['D52'], 'S36': ['D36'], 'S61': ['D61'], 'S19': ['D19'], 'S38': ['D38'], 'S46': ['D46'], 'S43': ['D43'], 'S41': ['D41'], 'S11': ['D11'], 'S27': ['D27'], 'S25': ['D25'], 'S5': ['D5'], 'S62': ['D62'], 'S15': ['D15'], 'S12': ['D12'], 'S30': ['D30'], 'S9': ['D9'], 'S42': ['D42'], 'S18': ['D18'], 'S17': ['D17'], 'S47': ['D47'], 'S24': ['D24'], 'S60': ['D60'], 'S32': ['D32'], 'S10': ['D10'], 'S53': ['D53'], 'S21': ['D21'], 'S57': ['D57'], 'S34': ['D34'], 'S22': ['D22'], 'S33': ['D33'], 'S14': ['D14'], 'S28': ['D28'], 'S7': ['D7'], 'S13': ['D13'], 'S39': ['D39'], 'S40': ['D40'], 'S29': ['D29'], 'S4': ['D4'], 'S35': ['D35'], 'S8': ['D8'], 'S51': ['D51'], 'S55': ['D55'], 'S20': ['D20'], 'S6': ['D6'], 'S26': ['D26'], 'S45': ['D45'], 'S56': ['D56'], 'S23': ['D23'], 'S16': ['D16'], 'S48': ['D48'], 'S37': ['D37'], 'S54': ['D54'], 'S58': ['D58']}
[kle_serial.py:885]: User layout: [['¬\n`', '!\n1', '"\n2', '£\n3', '$\n4', '%\n5', '^\n6', '&\n7', '*\n8', '(\n9', ')\n0', '_\n-', '+\n=', {'w': 2}, 'Backspace'], [{'w': 1.5}, 'Tab', 'Q', 'W', 'E', 'R', 'T', 'Y', 'U', 'I', 'O', 'P', '{\n[', '}\n]', {'x': 0.25, 'w': 1.25, 'h': 2, 'w2': 1.5, 'h2': 1, 'x2': -0.25}, 'Enter'], [{'w': 1.75}, 'Caps Lock', 'A', 'S', 'D', 'F', 'G', 'H', 'J', 'K', 'L', ':\n;', "@\n'", '~\n#'], [{'w': 1.25}, 'Shift', '|\n\\', 'Z', 'X', 'C', 'V', 'B', 'N', 'M', '<\n,', '>\n.', '?\n/', {'w': 2.75}, 'Shift'], [{'w': 1.25}, 'Ctrl', {'w': 1.25}, 'Win', {'w': 1.25}, 'Alt', {'a': 7, 'w': 6.25}, '', {'a': 4, 'w': 1.25}, 'AltGr', {'w': 1.25}, 'Win', {'w': 1.25}, 'Menu', {'w': 1.25}, 'Ctrl']]
[key_placer.py:610]: Layout offset: (28575000, 28575000)
[board_modifier.py:84]: Setting S1 footprint position: (38100000, 38100000)
[board_modifier.py:84]: Setting S2 footprint position: (57150000, 38100000)
[board_modifier.py:84]: Setting S3 footprint position: (76200000, 38100000)
[board_modifier.py:84]: Setting S4 footprint position: (95250000, 38100000)
[board_modifier.py:84]: Setting S5 footprint position: (114300000, 38100000)
[board_modifier.py:84]: Setting S6 footprint position: (133350000, 38100000)
[board_modifier.py:84]: Setting S7 footprint position: (152400000, 38100000)
[board_modifier.py:84]: Setting S8 footprint position: (171450000, 38100000)
[board_modifier.py:84]: Setting S9 footprint position: (190500000, 38100000)
[board_modifier.py:84]: Setting S10 footprint position: (209550000, 38100000)
[board_modifier.py:84]: Setting S11 footprint position: (228600000, 38100000)
[board_modifier.py:84]: Setting S12 footprint position: (247650000, 38100000)
[board_modifier.py:84]: Setting S13 footprint position: (266700000, 38100000)
[board_modifier.py:84]: Setting S14 footprint position: (295275000, 38100000)
[board_modifier.py:84]: Setting S15 footprint position: (42862500, 57150000)
[board_modifier.py:84]: Setting S16 footprint position: (66675000, 57150000)
[board_modifier.py:84]: Setting S17 footprint position: (85725000, 57150000)
[board_modifier.py:84]: Setting S18 footprint position: (104775000, 57150000)
[board_modifier.py:84]: Setting S19 footprint position: (123825000, 57150000)
[board_modifier.py:84]: Setting S20 footprint position: (142875000, 57150000)
[board_modifier.py:84]: Setting S21 footprint position: (161925000, 57150000)
[board_modifier.py:84]: Setting S22 footprint position: (180975000, 57150000)
[board_modifier.py:84]: Setting S23 footprint position: (200025000, 57150000)
[board_modifier.py:84]: Setting S24 footprint position: (219075000, 57150000)
[board_modifier.py:84]: Setting S25 footprint position: (238125000, 57150000)
[board_modifier.py:84]: Setting S26 footprint position: (257175000, 57150000)
[board_modifier.py:84]: Setting S27 footprint position: (276225000, 57150000)
[board_modifier.py:84]: Setting S28 footprint position: (302418750, 66675000)
[board_modifier.py:84]: Setting S29 footprint position: (45243750, 76200000)
[board_modifier.py:84]: Setting S30 footprint position: (71437500, 76200000)
[board_modifier.py:84]: Setting S31 footprint position: (90487500, 76200000)
[board_modifier.py:84]: Setting S32 footprint position: (109537500, 76200000)
[board_modifier.py:84]: Setting S33 footprint position: (128587500, 76200000)
[board_modifier.py:84]: Setting S34 footprint position: (147637500, 76200000)
[board_modifier.py:84]: Setting S35 footprint position: (166687500, 76200000)
[board_modifier.py:84]: Setting S36 footprint position: (185737500, 76200000)
[board_modifier.py:84]: Setting S37 footprint position: (204787500, 76200000)
[board_modifier.py:84]: Setting S38 footprint position: (223837500, 76200000)
[board_modifier.py:84]: Setting S39 footprint position: (242887500, 76200000)
[board_modifier.py:84]: Setting S40 footprint position: (261937500, 76200000)
[board_modifier.py:84]: Setting S41 footprint position: (280987500, 76200000)
[board_modifier.py:84]: Setting S42 footprint position: (40481250, 95250000)
[board_modifier.py:84]: Setting S43 footprint position: (61912500, 95250000)
[board_modifier.py:84]: Setting S44 footprint position: (80962500, 95250000)
[board_modifier.py:84]: Setting S45 footprint position: (100012500, 95250000)
[board_modifier.py:84]: Setting S46 footprint position: (119062500, 95250000)
[board_modifier.py:84]: Setting S47 footprint position: (138112500, 95250000)
[board_modifier.py:84]: Setting S48 footprint position: (157162500, 95250000)
[board_modifier.py:84]: Setting S49 footprint position: (176212500, 95250000)
[board_modifier.py:84]: Setting S50 footprint position: (195262500, 95250000)
[board_modifier.py:84]: Setting S51 footprint position: (214312500, 95250000)
[board_modifier.py:84]: Setting S52 footprint position: (233362500, 95250000)
[board_modifier.py:84]: Setting S53 footprint position: (252412500, 95250000)
[board_modifier.py:84]: Setting S54 footprint position: (288131250, 95250000)
[board_modifier.py:84]: Setting S55 footprint position: (40481250, 114300000)
[board_modifier.py:84]: Setting S56 footprint position: (64293750, 114300000)
[board_modifier.py:84]: Setting S57 footprint position: (88106250, 114300000)
[board_modifier.py:84]: Setting S58 footprint position: (159543750, 114300000)
[board_modifier.py:84]: Setting S59 footprint position: (230981250, 114300000)
[board_modifier.py:84]: Setting S60 footprint position: (254793750, 114300000)
[board_modifier.py:84]: Setting S61 footprint position: (278606250, 114300000)
[board_modifier.py:84]: Setting S62 footprint position: (302418750, 114300000)
[key_placer.py:955]: Diode info: [ElementInfo(annotation_format='D{}', position_option=<PositionOption.CUSTOM: 'Custom'>, position=ElementPosition(x=3.08, y=3.65, orientation=90.0, side=<Side.BACK: 'Back'>), template_path='')]
[board_modifier.py:97]: Getting S1 footprint position: (38100000, 38100000)
[board_modifier.py:84]: Setting D1 footprint position: (41180000, 41750000)
[board_modifier.py:97]: Getting S2 footprint position: (57150000, 38100000)
[board_modifier.py:84]: Setting D2 footprint position: (60230000, 41750000)
[board_modifier.py:97]: Getting S3 footprint position: (76200000, 38100000)
[board_modifier.py:84]: Setting D3 footprint position: (79280000, 41750000)
[board_modifier.py:97]: Getting S4 footprint position: (95250000, 38100000)
[board_modifier.py:84]: Setting D4 footprint position: (98330000, 41750000)
[board_modifier.py:97]: Getting S5 footprint position: (114300000, 38100000)
[board_modifier.py:84]: Setting D5 footprint position: (117380000, 41750000)
[board_modifier.py:97]: Getting S6 footprint position: (133350000, 38100000)
[board_modifier.py:84]: Setting D6 footprint position: (136430000, 41750000)
[board_modifier.py:97]: Getting S7 footprint position: (152400000, 38100000)
[board_modifier.py:84]: Setting D7 footprint position: (155480000, 41750000)
[board_modifier.py:97]: Getting S8 footprint position: (171450000, 38100000)
[board_modifier.py:84]: Setting D8 footprint position: (174530000, 41750000)
[board_modifier.py:97]: Getting S9 footprint position: (190500000, 38100000)
[board_modifier.py:84]: Setting D9 footprint position: (193580000, 41750000)
[board_modifier.py:97]: Getting S10 footprint position: (209550000, 38100000)
[board_modifier.py:84]: Setting D10 footprint position: (212630000, 41750000)
[board_modifier.py:97]: Getting S11 footprint position: (228600000, 38100000)
[board_modifier.py:84]: Setting D11 footprint position: (231680000, 41750000)
[board_modifier.py:97]: Getting S12 footprint position: (247650000, 38100000)
[board_modifier.py:84]: Setting D12 footprint position: (250730000, 41750000)
[board_modifier.py:97]: Getting S13 footprint position: (266700000, 38100000)
[board_modifier.py:84]: Setting D13 footprint position: (269780000, 41750000)
[board_modifier.py:97]: Getting S14 footprint position: (295275000, 38100000)
[board_modifier.py:84]: Setting D14 footprint position: (298355000, 41750000)
[board_modifier.py:97]: Getting S15 footprint position: (42862500, 57150000)
[board_modifier.py:84]: Setting D15 footprint position: (45942500, 60800000)
[board_modifier.py:97]: Getting S16 footprint position: (66675000, 57150000)
[board_modifier.py:84]: Setting D16 footprint position: (69755000, 60800000)
[board_modifier.py:97]: Getting S17 footprint position: (85725000, 57150000)
